product_code,product_category,product_subcategory,description,unit_price,unit_cost,shipping_cost_per_unit,length_in,width_in,height_in,weight_lbs,cubic_ft
FUR-BO-10004388,Furniture,Bookcases,"Ikea Library with Doors, Metal",326.47,232.13,27.32,34.16,12.33,67.63,73.31,16.485
FUR-BO-10004399,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",160.47,162.2,11.1,34.28,13.12,62.72,88.35,16.324
FUR-BO-10004404,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Pine",90.22,113.24,22.69,31.7,13.65,60.25,53.92,15.087
FUR-BO-10004407,Furniture,Bookcases,"Ikea Floating Shelf Set, Metal",113.2,96.22,12.91,31.59,12.15,69.26,64.12,15.384
FUR-BO-10004408,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",122.94,121.74,12.9,30.53,12.62,62.08,64.14,13.842
FUR-BO-10004409,Furniture,Bookcases,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",47.95,50.79,1.89,32.55,13.79,60.31,74.12,15.666
FUR-BO-10004423,Furniture,Bookcases,"Ikea Corner Shelving, Pine",82.94,43.14,4.67,31.54,14.23,61.62,64.12,16.005
FUR-BO-10004425,Furniture,Bookcases,"Sauder Library with Doors, Mobile",207.88,197.48,31.12,30.93,13.35,68.38,45.67,16.34
FUR-BO-10004430,Furniture,Bookcases,"Bush Floating Shelf Set, Metal",84.87,154.87,8.13,30.01,15.28,61.07,59.68,16.206
FUR-BO-10004434,Furniture,Bookcases,"Ikea Library with Doors, Traditional",363.39,352.5,30.62,34.24,12.72,71.13,68.48,17.928
FUR-BO-10004441,Furniture,Bookcases,"Ikea Library with Doors, Metal",144.74,210.06,11.15,33.83,15.89,71.17,82.5,22.14
FUR-BO-10004445,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",113.33,99.47,15.25,33.03,12.73,70.6,58.85,17.179
FUR-BO-10004452,Furniture,Bookcases,"Bush Classic Bookcase, Pine",220.62,146.1,26.14,33.4,12.41,63.98,60.5,15.347
FUR-BO-10004459,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Traditional",89.85,90.98,8.89,35.25,13.61,64.11,51.22,17.799
FUR-BO-10004467,Furniture,Bookcases,Bestar Classic Bookcase,29.3,80.29,4.31,31.1,15.01,63.59,85.32,17.179
FUR-BO-10004472,Furniture,Bookcases,"Dania Library with Doors, Pine",193.8,121.06,25.62,34.23,15.25,62.31,75.68,18.823
FUR-BO-10004483,Furniture,Bookcases,"Ikea Floating Shelf Set, Pine",154.42,147.56,0.3,35.33,15.32,70.6,47.28,22.114
FUR-BO-10004504,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Mobile",112.8,91.38,6.04,30.94,14.86,61.3,70.44,16.31
FUR-BO-10004507,Furniture,Bookcases,"Ikea Corner Shelving, Metal",122.52,111.51,10.6,34.14,12.66,66.21,78.33,16.561
FUR-BO-10004508,Furniture,Bookcases,"Ikea Floating Shelf Set, Mobile",115.24,66.84,11.24,32.3,12.13,64.13,45.23,14.541
FUR-BO-10004529,Furniture,Bookcases,"Sauder 3-Shelf Cabinet, Pine",168.03,147.87,12.55,35.03,12.35,65.9,55.05,16.499
FUR-BO-10004537,Furniture,Bookcases,"Dania Floating Shelf Set, Mobile",171.87,108.3,32.96,33.88,13.21,68.37,88.48,17.708
FUR-BO-10004541,Furniture,Bookcases,"Dania Library with Doors, Mobile",291.74,302.71,26.9,30.34,13.24,61.73,81.36,14.35
FUR-BO-10004547,Furniture,Bookcases,"Bush Stackable Bookrack, Traditional",110.57,92.15,11.64,32.79,15.53,60.91,46.31,17.95
FUR-BO-10004558,Furniture,Bookcases,"Sauder Library with Doors, Pine",155.19,191.5,13.21,34.42,13.33,66.13,58.61,17.559
FUR-BO-10004560,Furniture,Bookcases,"Bush Floating Shelf Set, Mobile",173.79,130.35,22.23,30.97,13.11,60.93,81.43,14.316
FUR-BO-10004565,Furniture,Bookcases,"Sauder Corner Shelving, Traditional",98.2,73.66,18.07,33.18,13.37,64.35,86.94,16.52
FUR-BO-10004567,Furniture,Bookcases,"Bush Floating Shelf Set, Mobile",115.86,85.74,7.54,34.95,13.69,62.15,53.27,17.209
FUR-BO-10004585,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Traditional",128.1,78.26,21.49,34.46,15.67,61.03,46.25,19.071
FUR-BO-10004620,Furniture,Bookcases,"Safco Stackable Bookrack, Mobile",58.99,130.53,12.38,33.27,14.48,61.61,65.72,17.176
FUR-BO-10004630,Furniture,Bookcases,"Ikea Library with Doors, Mobile",329.22,347.54,19.71,31.23,14.13,65.06,88.64,16.614
FUR-BO-10004633,Furniture,Bookcases,"Safco Stackable Bookrack, Traditional",133.5,130.55,28.33,32.32,14.15,63.59,80.18,16.83
FUR-BO-10004648,Furniture,Bookcases,"Sauder Library with Doors, Pine",361.68,330.59,32.39,31.21,12.87,70.25,82.45,16.33
FUR-BO-10004660,Furniture,Bookcases,"Sauder Library with Doors, Metal",193.05,258.88,13.65,34.39,15.94,69.66,70.7,22.098
FUR-BO-10004665,Furniture,Bookcases,"Bush Classic Bookcase, Mobile",415.2,240.84,30.87,30.13,14.95,67.41,85.47,17.572
FUR-BO-10004670,Furniture,Bookcases,"Dania Library with Doors, Mobile",364.92,302.91,19.0,34.19,13.91,60.19,62.84,16.566
FUR-BO-10004679,Furniture,Bookcases,"Safco Library with Doors, Pine",246.05,347.75,17.71,32.38,15.57,66.25,50.21,19.329
FUR-BO-10004681,Furniture,Bookcases,"Ikea Stackable Bookrack, Metal",122.04,87.87,11.7,32.78,12.02,70.93,81.01,16.173
FUR-BO-10004690,Furniture,Bookcases,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,95.94,127.56,12.71,34.31,14.93,66.58,88.81,19.737
FUR-BO-10004695,Furniture,Bookcases,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,144.58,139.15,8.18,32.55,15.9,67.99,79.4,20.363
FUR-BO-10004699,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Mobile",143.97,143.97,19.62,32.83,15.81,66.17,45.34,19.876
FUR-BO-10004704,Furniture,Bookcases,"Bush Corner Shelving, Pine",62.17,64.69,25.56,30.02,14.75,69.64,86.31,17.845
FUR-BO-10004707,Furniture,Bookcases,"Ikea Library with Doors, Traditional",326.95,352.4,19.49,35.79,15.28,68.73,85.48,21.751
FUR-BO-10004709,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Medium Cherry Finish",57.98,45.22,4.38,34.27,12.6,67.44,73.2,16.852
FUR-BO-10004725,Furniture,Bookcases,"Sauder Library with Doors, Metal",206.25,195.94,52.33,32.29,14.46,63.39,72.44,17.128
FUR-BO-10004771,Furniture,Bookcases,"Ikea Classic Bookcase, Traditional",370.48,325.19,50.13,33.06,14.02,64.28,86.17,17.242
FUR-BO-10004773,Furniture,Bookcases,"Ikea Floating Shelf Set, Mobile",138.09,115.63,6.46,33.82,14.66,65.2,55.84,18.707
FUR-BO-10004806,Furniture,Bookcases,"Safco Corner Shelving, Traditional",96.8,92.32,7.5,32.46,13.36,60.63,62.87,15.216
FUR-BO-10004821,Furniture,Bookcases,"Dania Corner Shelving, Traditional",122.07,109.89,20.39,34.73,12.3,67.87,85.75,16.778
FUR-BO-10004824,Furniture,Bookcases,"Safco Stackable Bookrack, Traditional",73.72,124.21,23.81,30.66,15.45,66.69,86.12,18.282
FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",439.99,677.85,34.66,33.02,13.21,70.14,46.85,17.705
FUR-BO-10004842,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Pine",132.73,94.19,45.09,35.48,13.66,70.58,46.21,19.796
FUR-BO-10004844,Furniture,Bookcases,"Sauder Corner Shelving, Mobile",149.82,104.88,18.92,35.11,13.11,65.97,57.95,17.573
FUR-BO-10004852,Furniture,Bookcases,"Sauder Classic Bookcase, Traditional",435.99,274.68,50.64,32.67,13.7,70.33,66.25,18.217
FUR-BO-10004878,Furniture,Bookcases,"Ikea 3-Shelf Cabinet, Traditional",85.06,82.22,6.3,30.66,15.2,64.41,49.92,17.371
FUR-BO-10004899,Furniture,Bookcases,"Safco Floating Shelf Set, Pine",105.45,129.22,8.12,34.78,15.7,71.16,77.78,22.486
FUR-BO-10004911,Furniture,Bookcases,"Ikea Corner Shelving, Mobile",116.72,119.24,19.24,35.27,13.73,66.6,53.95,18.664
FUR-BO-10004914,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Traditional",128.93,111.74,7.69,34.46,12.61,64.88,64.84,16.315
FUR-BO-10004917,Furniture,Bookcases,"Dania Stackable Bookrack, Mobile",121.59,76.62,8.09,34.05,14.08,65.41,59.07,18.148
FUR-BO-10004924,Furniture,Bookcases,"Sauder Library with Doors, Traditional",258.42,227.42,23.81,34.39,12.79,67.64,50.21,17.217
FUR-BO-10004926,Furniture,Bookcases,"Safco 3-Shelf Cabinet, Traditional",151.86,119.78,4.39,32.78,15.87,64.08,86.87,19.291
FUR-BO-10004935,Furniture,Bookcases,"Ikea Stackable Bookrack, Mobile",32.76,56.12,8.1,30.93,13.53,68.55,78.03,16.601
FUR-BO-10004947,Furniture,Bookcases,"Safco Stackable Bookrack, Pine",74.67,95.74,2.2,33.4,14.75,68.85,81.11,19.629
FUR-BO-10004980,Furniture,Bookcases,"Bush Library with Doors, Mobile",244.56,229.9,17.2,32.2,14.92,71.1,89.91,19.767
FUR-BO-10004999,Furniture,Bookcases,"Safco Classic Bookcase, Metal",437.61,227.58,118.78,30.29,15.22,69.0,54.61,18.409
FUR-BUS-10000332,Furniture,Bookcases,"Bush Library with Doors, Traditional",364.32,346.11,45.99,30.37,12.36,65.77,80.42,14.287
FUR-BUS-10000984,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Traditional",42.31,111.14,8.87,32.52,15.79,64.69,77.49,19.223
FUR-BUS-10001187,Furniture,Bookcases,"Bush Classic Bookcase, Metal",164.26,271.44,7.95,32.62,13.19,60.98,73.27,15.184
FUR-BUS-10001243,Furniture,Bookcases,"Bush Classic Bookcase, Pine",414.03,211.17,26.48,33.99,15.23,71.28,86.82,21.354
FUR-BUS-10001781,Furniture,Bookcases,"Bush Library with Doors, Metal",363.78,309.24,38.71,35.43,13.83,60.46,61.04,17.144
FUR-BUS-10001876,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Pine",42.72,132.47,2.35,32.18,12.19,69.12,81.7,15.691
FUR-BUS-10002040,Furniture,Bookcases,"Bush Library with Doors, Mobile",366.84,249.48,20.13,32.33,13.69,67.79,51.98,17.363
FUR-BUS-10002138,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",126.03,99.57,12.8,30.41,12.95,70.65,45.73,16.101
FUR-BUS-10002192,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Metal",142.83,101.43,7.28,30.52,14.38,71.59,55.65,18.182
FUR-BUS-10002639,Furniture,Bookcases,"Bush Corner Shelving, Mobile",126.51,73.38,16.55,35.79,12.63,68.84,67.62,18.008
FUR-BUS-10002989,Furniture,Bookcases,"Bush Classic Bookcase, Traditional",412.68,243.51,38.96,35.86,13.72,61.08,89.04,17.391
FUR-BUS-10003055,Furniture,Bookcases,"Bush Stackable Bookrack, Pine",124.86,76.17,1.6,33.78,12.31,69.22,87.75,16.657
FUR-BUS-10003368,Furniture,Bookcases,"Bush Floating Shelf Set, Mobile",173.79,130.35,0.64,35.59,13.49,66.96,78.36,18.604
FUR-BUS-10003708,Furniture,Bookcases,"Bush Stackable Bookrack, Traditional",36.19,91.55,7.53,35.11,14.25,64.97,53.25,18.811
FUR-BUS-10003724,Furniture,Bookcases,"Bush Corner Shelving, Metal",123.45,106.17,14.58,35.72,13.38,70.85,50.33,19.596
FUR-BUS-10004121,Furniture,Bookcases,"Bush 3-Shelf Cabinet, Mobile",43.07,123.32,6.29,35.21,15.79,69.52,60.65,22.367
FUR-BUS-10004336,Furniture,Bookcases,"Bush Corner Shelving, Traditional",123.99,97.98,12.01,30.36,14.76,62.32,82.39,16.161
FUR-BUS-10004475,Furniture,Bookcases,"Bush Floating Shelf Set, Traditional",171.27,140.46,30.57,35.83,13.23,71.2,58.75,19.532
FUR-BUS-10004622,Furniture,Bookcases,"Bush Corner Shelving, Pine",125.34,65.19,3.97,32.39,14.71,67.35,45.17,18.57
FUR-BUS-10004644,Furniture,Bookcases,"Bush Library with Doors, Pine",365.67,325.47,152.99,31.25,13.67,70.36,58.9,17.394
FUR-BUS-10004820,Furniture,Bookcases,"Bush Classic Bookcase, Mobile",415.2,394.44,53.21,31.51,12.25,67.78,63.63,15.141
FUR-BUS-10004854,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",172.62,119.13,12.9,35.97,14.16,62.91,81.06,18.543
FUR-BUS-10004882,Furniture,Bookcases,"Bush Floating Shelf Set, Metal",67.69,154.77,8.82,32.41,15.45,68.11,50.33,19.737
FUR-CH-10000005,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",281.55,413.15,85.99,27.96,27.38,42.9,35.47,19.006
FUR-CH-10000013,Furniture,Chairs,"Hon Steel Folding Chair, Black",70.99,55.22,10.88,24.44,24.5,36.8,33.15,12.752
FUR-CH-10000015,Furniture,Chairs,Hon Multipurpose Stacking Arm Chairs,216.6,160.28,18.97,20.17,22.68,35.26,15.03,9.334
FUR-CH-10000025,Furniture,Chairs,"Office Star Rocking Chair, Set of Two",104.24,114.27,6.42,25.26,24.89,36.74,44.11,13.368
FUR-CH-10000026,Furniture,Chairs,"SAFCO Rocking Chair, Black",105.78,127.0,5.54,24.63,24.65,38.94,38.04,13.681
FUR-CH-10000027,Furniture,Chairs,"SAFCO Executive Leather Armchair, Black",459.0,399.33,52.56,26.36,27.8,42.89,38.0,18.189
FUR-CH-10000042,Furniture,Chairs,"Harbour Creations Swivel Stool, Black",177.69,92.4,19.51,23.52,25.76,37.1,33.93,13.008
FUR-CH-10000051,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",473.61,331.53,47.87,26.71,26.16,47.57,38.0,19.235
FUR-CH-10000068,Furniture,Chairs,"Office Star Steel Folding Chair, Red",73.17,80.53,5.03,25.21,23.75,38.12,35.58,13.208
FUR-CH-10000089,Furniture,Chairs,"Hon Rocking Chair, Black",33.58,43.84,4.44,25.29,23.41,39.96,33.48,13.691
FUR-CH-10000105,Furniture,Chairs,"Novimex Bag Chairs, Black",17.01,15.86,0.9,25.05,23.36,37.09,42.95,12.56
FUR-CH-10000110,Furniture,Chairs,"Hon Bag Chairs, Red",32.69,25.47,1.78,25.78,23.04,38.37,29.75,13.189
FUR-CH-10000117,Furniture,Chairs,"Novimex Steel Folding Chair, Black",79.8,65.46,6.54,23.46,23.6,40.69,27.63,13.037
FUR-CH-10000133,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Black",85.81,80.09,3.95,24.78,25.41,40.31,41.77,14.688
FUR-CH-10000136,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Set of Two",26.1,34.8,1.4,25.16,23.93,40.55,32.48,14.129
FUR-CH-10000155,Furniture,Chairs,Global Comet Stacking Armless Chair,239.04,215.12,46.51,22.87,23.74,34.75,22.3,10.918
FUR-CH-10000171,Furniture,Chairs,"SAFCO Steel Folding Chair, Adjustable",58.8,35.28,7.62,23.3,24.52,40.04,41.18,13.238
FUR-CH-10000182,Furniture,Chairs,"Office Star Bag Chairs, Adjustable",14.85,22.2,0.98,25.6,24.57,38.13,39.31,13.879
FUR-CH-10000187,Furniture,Chairs,"Hon Chairmat, Red",49.88,41.57,9.39,24.98,24.75,37.53,25.54,13.428
FUR-CH-10000213,Furniture,Chairs,"Hon Swivel Stool, Red",147.19,139.01,11.4,23.23,23.39,41.17,35.95,12.945
FUR-CH-10000214,Furniture,Chairs,"Harbour Creations Bag Chairs, Black",53.17,53.78,2.02,23.06,24.79,41.09,43.37,13.593
FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",64.58,76.73,2.84,23.99,22.27,40.06,26.63,12.386
FUR-CH-10000229,Furniture,Chairs,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,216.58,249.1,15.17,23.56,24.79,38.79,42.06,13.111
FUR-CH-10000233,Furniture,Chairs,"SAFCO Chairmat, Red",23.53,24.34,4.76,24.27,25.44,41.69,40.95,14.896
FUR-CH-10000258,Furniture,Chairs,"Office Star Steel Folding Chair, Red",91.71,86.22,12.84,24.82,24.62,41.02,28.96,14.506
FUR-CH-10000265,Furniture,Chairs,"Office Star Chairmat, Adjustable",36.23,34.88,4.65,23.05,23.14,40.18,31.51,12.402
FUR-CH-10000294,Furniture,Chairs,"Office Star Swivel Stool, Red",173.94,135.69,26.63,23.86,25.31,40.65,29.97,14.206
FUR-CH-10000302,Furniture,Chairs,"Novimex Rocking Chair, Red",52.17,70.58,7.53,25.96,25.72,40.63,41.33,15.699
FUR-CH-10000309,Furniture,Chairs,Global Comet Stacking Arm Chair,422.51,316.88,27.68,22.53,22.36,34.41,24.05,10.032
FUR-CH-10000326,Furniture,Chairs,"SAFCO Rocking Chair, Red",89.94,52.18,15.03,25.89,23.62,36.84,25.26,13.037
FUR-CH-10000333,Furniture,Chairs,"SAFCO Swivel Stool, Black",148.86,105.83,18.1,24.71,23.1,36.06,31.25,11.912
FUR-CH-10000336,Furniture,Chairs,"SAFCO Chairmat, Set of Two",24.43,36.86,3.88,24.54,24.84,37.66,35.84,13.285
FUR-CH-10000343,Furniture,Chairs,"Hon Executive Leather Armchair, Black",243.61,204.0,21.0,25.07,27.44,45.61,51.91,18.157
FUR-CH-10000351,Furniture,Chairs,"Novimex Chairmat, Set of Two",58.59,36.93,3.52,23.18,24.74,39.77,37.42,13.199
FUR-CH-10000373,Furniture,Chairs,"Hon Steel Folding Chair, Set of Two",83.67,42.69,2.62,25.33,24.06,36.53,40.36,12.884
FUR-CH-10000391,Furniture,Chairs,"Novimex Bag Chairs, Red",45.96,42.3,7.22,24.29,25.79,37.42,28.44,13.566
FUR-CH-10000399,Furniture,Chairs,"Hon Swivel Stool, Set of Two",165.9,126.09,10.15,23.13,25.01,40.8,32.57,13.659
FUR-CH-10000414,Furniture,Chairs,"Novimex Chairmat, Black",28.55,33.6,2.45,23.87,24.71,41.18,32.47,14.056
FUR-CH-10000422,Furniture,Chairs,Global Highback Leather Tilter in Burgundy,63.39,76.13,3.69,24.25,24.56,37.48,30.5,12.918
FUR-CH-10000423,Furniture,Chairs,"Hon Chairmat, Set of Two",57.78,45.09,4.42,24.2,23.42,36.61,26.68,12.008
FUR-CH-10000430,Furniture,Chairs,"SAFCO Rocking Chair, Set of Two",91.44,64.94,4.34,23.66,24.65,37.86,39.08,12.778
FUR-CH-10000432,Furniture,Chairs,"Harbour Creations Swivel Stool, Adjustable",90.81,171.16,6.14,25.47,25.32,40.34,28.03,15.055
FUR-CH-10000438,Furniture,Chairs,"Novimex Chairmat, Adjustable",34.9,58.43,3.13,25.07,23.76,36.1,34.41,12.444
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",243.98,170.79,39.03,21.73,20.43,33.2,24.42,8.529
FUR-CH-10000470,Furniture,Chairs,"Novimex Executive Leather Armchair, Red",275.72,441.41,53.11,26.55,26.97,47.75,47.52,19.787
FUR-CH-10000479,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",423.96,240.23,29.09,25.7,26.95,41.11,41.86,16.478
FUR-CH-10000488,Furniture,Chairs,"SAFCO Steel Folding Chair, Black",41.14,60.31,9.65,24.89,23.74,40.33,26.63,13.791
FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,90.69,117.99,23.67,24.21,23.07,38.04,30.95,12.295
FUR-CH-10000527,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",465.0,385.95,25.06,26.88,24.1,47.83,52.24,17.931
FUR-CH-10000528,Furniture,Chairs,"Novimex Steel Folding Chair, Adjustable",33.49,55.52,5.62,25.09,25.07,38.92,34.47,14.167
FUR-CH-10000546,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",476.1,285.66,60.35,26.77,24.1,40.63,45.05,15.169
FUR-CH-10000553,Furniture,Chairs,"Metal Folding Chairs, Beige, 4/Carton",33.94,24.78,9.57,23.66,24.21,41.08,35.59,13.617
FUR-CH-10000568,Furniture,Chairs,"Hon Bag Chairs, Black",33.98,34.0,3.89,25.98,25.47,37.69,28.6,14.433
FUR-CH-10000583,Furniture,Chairs,"Novimex Swivel Stool, Set of Two",149.94,103.28,10.84,25.45,25.79,41.18,27.54,15.642
FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,238.4,178.8,14.12,23.11,20.86,33.4,16.24,9.318
FUR-CH-10000602,Furniture,Chairs,"Novimex Executive Leather Armchair, Red",414.08,441.71,53.89,25.27,24.87,45.29,49.33,16.472
FUR-CH-10000603,Furniture,Chairs,"Hon Bag Chairs, Red",45.15,30.27,7.86,24.5,25.31,37.0,33.88,13.277
FUR-CH-10000604,Furniture,Chairs,"Office Star Rocking Chair, Set of Two",37.58,72.9,3.72,25.87,23.59,41.11,41.13,14.519
FUR-CH-10000608,Furniture,Chairs,"Office Star Chairmat, Set of Two",49.42,42.63,2.0,24.14,23.16,38.49,39.18,12.453
FUR-CH-10000656,Furniture,Chairs,"Hon Swivel Stool, Adjustable",110.76,78.64,12.36,24.74,25.19,36.18,33.46,13.048
FUR-CH-10000660,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",455.52,314.31,41.99,24.88,24.49,47.3,48.35,16.678
FUR-CH-10000663,Furniture,Chairs,"Hon Steel Folding Chair, Adjustable",75.42,68.72,2.27,24.72,24.11,38.92,37.92,13.424
FUR-CH-10000665,Furniture,Chairs,"Global Airflow Leather Mesh Back Chair, Black",120.58,105.49,8.69,24.4,25.75,39.37,39.74,14.315
FUR-CH-10000666,Furniture,Chairs,"SAFCO Chairmat, Black",34.03,47.24,4.09,24.0,25.1,41.39,29.0,14.429
FUR-CH-10000667,Furniture,Chairs,"Novimex Chairmat, Black",20.96,41.46,2.93,25.77,25.71,41.94,25.33,16.081
FUR-CH-10000677,Furniture,Chairs,"Hon Steel Folding Chair, Red",32.17,43.04,0.44,24.53,26.0,38.92,42.09,14.365
FUR-CH-10000685,Furniture,Chairs,"Hon Executive Leather Armchair, Black",411.33,287.9,19.49,25.55,26.29,43.21,36.12,16.797
FUR-CH-10000689,Furniture,Chairs,"SAFCO Chairmat, Red",35.49,36.11,7.26,23.73,25.85,40.16,25.25,14.256
FUR-CH-10000690,Furniture,Chairs,"Novimex Bag Chairs, Black",16.81,23.79,1.14,23.51,23.94,40.77,44.52,13.279
FUR-CH-10000694,Furniture,Chairs,"Novimex Steel Folding Chair, Red",82.23,64.14,10.59,23.6,23.22,36.01,31.84,11.42
FUR-CH-10000727,Furniture,Chairs,"Office Star Chairmat, Set of Two",61.16,38.03,4.63,24.34,25.64,38.93,35.08,14.06
FUR-CH-10000745,Furniture,Chairs,"Hon Chairmat, Adjustable",58.02,44.1,3.73,25.45,25.76,41.52,35.76,15.752
FUR-CH-10000749,Furniture,Chairs,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,180.98,152.02,55.16,25.97,25.98,38.89,28.2,15.185
FUR-CH-10000774,Furniture,Chairs,"SAFCO Rocking Chair, Set of Two",137.16,137.16,21.62,24.34,25.38,38.37,34.05,13.717
FUR-CH-10000777,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Adjustable",188.07,216.36,10.34,24.72,27.59,40.62,49.41,16.032
FUR-CH-10000783,Furniture,Chairs,"Office Star Executive Leather Armchair, Adjustable",469.92,413.55,28.07,26.62,26.89,44.78,48.96,18.55
FUR-CH-10000785,Furniture,Chairs,Global Ergonomic Managers Chair,162.78,133.83,5.29,25.31,25.32,37.6,44.23,13.944
FUR-CH-10000788,Furniture,Chairs,"Hon Rocking Chair, Adjustable",52.84,86.58,6.75,23.56,25.18,39.37,28.69,13.516
FUR-CH-10000790,Furniture,Chairs,"Hon Chairmat, Adjustable",58.02,29.01,4.18,24.28,23.34,41.67,31.02,13.666
FUR-CH-10000807,Furniture,Chairs,"Hon Rocking Chair, Adjustable",119.7,69.14,10.88,25.23,23.11,36.99,35.47,12.481
FUR-CH-10000825,Furniture,Chairs,"SAFCO Chairmat, Red",43.4,36.24,0.69,24.41,23.71,36.13,39.02,12.101
FUR-CH-10000836,Furniture,Chairs,"SAFCO Swivel Stool, Adjustable",113.62,110.22,14.03,25.38,24.03,41.37,35.57,14.601
FUR-CH-10000843,Furniture,Chairs,"SAFCO Executive Leather Armchair, Set of Two",309.12,281.3,54.23,27.69,25.93,44.5,48.72,18.49
FUR-CH-10000847,Furniture,Chairs,Global Executive Mid-Back Manager's Chair,290.98,215.33,16.89,24.06,24.49,42.28,45.26,14.417
FUR-CH-10000848,Furniture,Chairs,"SAFCO Executive Leather Armchair, Set of Two",417.21,268.85,13.08,26.71,25.63,43.77,35.2,17.34
FUR-CH-10000852,Furniture,Chairs,"Novimex Chairmat, Set of Two",23.04,20.7,0.89,23.99,25.79,39.09,29.94,13.996
FUR-CH-10000857,Furniture,Chairs,"Harbour Creations Rocking Chair, Black",130.09,101.18,7.17,25.36,24.99,37.34,33.45,13.694
FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,105.39,134.07,7.54,22.66,24.37,38.68,32.36,12.361
FUR-CH-10000885,Furniture,Chairs,"Hon Executive Leather Armchair, Adjustable",306.42,217.56,28.32,25.2,25.1,46.67,44.91,17.083
FUR-CH-10000891,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",315.74,236.82,49.21,26.93,26.2,40.88,35.07,16.692
FUR-CH-10000892,Furniture,Chairs,"SAFCO Executive Leather Armchair, Red",245.9,301.28,8.48,27.68,27.86,41.03,45.24,18.311
FUR-CH-10000920,Furniture,Chairs,"Novimex Executive Leather Armchair, Adjustable",120.87,236.28,10.34,24.03,26.91,47.55,54.36,17.794
FUR-CH-10000932,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Red",317.24,171.32,25.35,27.28,25.89,40.86,38.2,16.701
FUR-CH-10000953,Furniture,Chairs,"Harbour Creations Swivel Stool, Black",118.46,111.36,14.63,25.41,23.54,39.2,42.28,13.569
FUR-CH-10000966,Furniture,Chairs,"Harbour Creations Chairmat, Set of Two",29.1,64.02,2.88,25.19,23.49,36.64,42.26,12.547
FUR-CH-10000969,Furniture,Chairs,"Hon Executive Leather Armchair, Red",413.35,459.29,8.41,24.73,25.03,45.82,47.39,16.413
FUR-CH-10000974,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Black",426.15,331.43,45.45,24.44,24.62,42.6,40.14,14.834
FUR-CH-10000981,Furniture,Chairs,"Novimex Swivel Stool, Set of Two",149.94,158.3,38.93,23.39,25.91,37.97,34.93,13.317
FUR-CH-10000988,Furniture,Chairs,Hon Olson Stacker Stools,140.81,101.38,12.72,24.0,25.19,41.38,33.83,14.477
FUR-CH-10000994,Furniture,Chairs,"Harbour Creations Rocking Chair, Black",144.66,120.09,9.31,23.42,25.6,40.57,36.81,14.076
FUR-CH-10000996,Furniture,Chairs,"Harbour Creations Steel Folding Chair, Black",63.64,60.46,3.68,24.22,23.8,37.08,30.09,12.369
FUR-CH-10001021,Furniture,Chairs,"Office Star Rocking Chair, Red",93.94,54.5,12.45,25.49,25.93,39.78,43.52,15.216
FUR-CH-10001037,Furniture,Chairs,"SAFCO Chairmat, Adjustable",62.31,48.63,9.38,23.83,25.78,38.92,36.64,13.837
FUR-CH-10001039,Furniture,Chairs,"Harbour Creations Rocking Chair, Adjustable",59.23,101.13,5.05,24.93,24.49,36.58,25.36,12.924
